id,title,author,year,venue,pubtype,url
23,This is the title of paper 23,first last15,1974,venue location4,pubtype1,http://portal.acm.org/paperdb/location/of/paper23
24,This is the title of paper 24,first last16,1970,venue location3,pubtype2,http://portal.acm.org/paperdb/location/of/paper24
25,This is the title of paper 25,first last8,1980,venue location4,pubtype0,http://portal.acm.org/paperdb/location/of/paper25
26,This is the title of paper 26,first last1,1974,venue location8,pubtype4,http://portal.acm.org/paperdb/location/of/paper26
27,This is the title of paper 27,first last11,1980,venue location4,pubtype1,http://portal.acm.org/paperdb/location/of/paper27
28,This is the title of paper 28,first last5,1982,venue location8,pubtype4,http://portal.acm.org/paperdb/location/of/paper28
29,This is the title of paper 29,first last16,1969,venue location5,pubtype2,http://portal.acm.org/paperdb/location/of/paper29
30,This is the title of paper 30,first last2,1976,venue location6,pubtype1,http://portal.acm.org/paperdb/location/of/paper30
31,This is the title of paper 31,first last15,1972,venue location3,pubtype3,http://portal.acm.org/paperdb/location/of/paper31
32,This is the title of paper 32,first last9,1976,venue location3,pubtype2,http://portal.acm.org/paperdb/location/of/paper32
33,This is the title of paper 33,first last6,1972,venue location2,pubtype3,http://portal.acm.org/paperdb/location/of/paper33
34,This is the title of paper 34,first last0,1980,venue location0,pubtype0,http://portal.acm.org/paperdb/location/of/paper34
35,This is the title of paper 35,first last11,1978,venue location0,pubtype1,http://portal.acm.org/paperdb/location/of/paper35
36,This is the title of paper 36,first last8,1975,venue location2,pubtype0,http://portal.acm.org/paperdb/location/of/paper36
37,This is the title of paper 37,first last11,1979,venue location3,pubtype2,http://portal.acm.org/paperdb/location/of/paper37
38,This is the title of paper 38,first last8,1980,venue location5,pubtype2,http://portal.acm.org/paperdb/location/of/paper38
39,This is the title of paper 39,first last16,1980,venue location9,pubtype0,http://portal.acm.org/paperdb/location/of/paper39
40,This is the title of paper 40,first last9,1983,venue location2,pubtype0,http://portal.acm.org/paperdb/location/of/paper40
41,This is the title of paper 41,first last9,1974,venue location2,pubtype3,http://portal.acm.org/paperdb/location/of/paper41
42,This is the title of paper 42,first last14,1982,venue location0,pubtype0,http://portal.acm.org/paperdb/location/of/paper42
43,This is the title of paper 43,first last12,1977,venue location5,pubtype0,http://portal.acm.org/paperdb/location/of/paper43
44,This is the title of paper 44,first last16,1973,venue location8,pubtype2,http://portal.acm.org/paperdb/location/of/paper44
45,This is the title of paper 45,first last8,1974,venue location0,pubtype2,http://portal.acm.org/paperdb/location/of/paper45
46,This is the title of paper 46,first last1,1972,venue location3,pubtype3,http://portal.acm.org/paperdb/location/of/paper46
47,This is the title of paper 47,first last15,1983,venue location1,pubtype4,http://portal.acm.org/paperdb/location/of/paper47
48,This is the title of paper 48,first last14,1976,venue location7,pubtype2,http://portal.acm.org/paperdb/location/of/paper48
49,This is the title of paper 49,first last11,1982,venue location0,pubtype3,http://portal.acm.org/paperdb/location/of/paper49
50,This is the title of paper 50,first last6,1978,venue location2,pubtype1,http://portal.acm.org/paperdb/location/of/paper50
51,This is the title of paper 51,first last1,1976,venue location5,pubtype2,http://portal.acm.org/paperdb/location/of/paper51
52,This is the title of paper 52,first last6,1975,venue location9,pubtype3,http://portal.acm.org/paperdb/location/of/paper52
53,This is the title of paper 53,first last14,1973,venue location2,pubtype3,http://portal.acm.org/paperdb/location/of/paper53
54,This is the title of paper 54,first last9,1978,venue location9,pubtype4,http://portal.acm.org/paperdb/location/of/paper54
55,This is the title of paper 55,first last7,1972,venue location8,pubtype3,http://portal.acm.org/paperdb/location/of/paper55
56,This is the title of paper 56,first last19,1970,venue location4,pubtype0,http://portal.acm.org/paperdb/location/of/paper56
57,This is the title of paper 57,first last6,1972,venue location6,pubtype1,http://portal.acm.org/paperdb/location/of/paper57
58,This is the title of paper 58,first last4,1969,venue location9,pubtype1,http://portal.acm.org/paperdb/location/of/paper58
59,This is the title of paper 59,first last1,1970,venue location7,pubtype2,http://portal.acm.org/paperdb/location/of/paper59
60,This is the title of paper 60,first last9,1973,venue location2,pubtype0,http://portal.acm.org/paperdb/location/of/paper60
61,This is the title of paper 61,first last8,1979,venue location8,pubtype2,http://portal.acm.org/paperdb/location/of/paper61
62,This is the title of paper 62,first last14,1981,venue location2,pubtype3,http://portal.acm.org/paperdb/location/of/paper62
63,This is the title of paper 63,first last2,1970,venue location2,pubtype2,http://portal.acm.org/paperdb/location/of/paper63
64,This is the title of paper 64,first last3,1969,venue location9,pubtype0,http://portal.acm.org/paperdb/location/of/paper64
65,This is the title of paper 65,first last12,1983,venue location9,pubtype4,http://portal.acm.org/paperdb/location/of/paper65
66,This is the title of paper 66,first last3,1982,venue location7,pubtype2,http://portal.acm.org/paperdb/location/of/paper66
67,This is the title of paper 67,first last14,1970,venue location9,pubtype1,http://portal.acm.org/paperdb/location/of/paper67
68,This is the title of paper 68,first last17,1974,venue location3,pubtype1,http://portal.acm.org/paperdb/location/of/paper68
69,This is the title of paper 69,first last9,1977,venue location6,pubtype3,http://portal.acm.org/paperdb/location/of/paper69
70,This is the title of paper 70,first last11,1982,venue location5,pubtype3,http://portal.acm.org/paperdb/location/of/paper70
71,This is the title of paper 71,first last17,1970,venue location2,pubtype0,http://portal.acm.org/paperdb/location/of/paper71
72,This is the title of paper 72,first last6,1972,venue location4,pubtype3,http://portal.acm.org/paperdb/location/of/paper72
73,This is the title of paper 73,first last13,1977,venue location7,pubtype0,http://portal.acm.org/paperdb/location/of/paper73
74,This is the title of paper 74,first last6,1975,venue location4,pubtype2,http://portal.acm.org/paperdb/location/of/paper74
75,This is the title of paper 75,first last11,1982,venue location5,pubtype0,http://portal.acm.org/paperdb/location/of/paper75
76,This is the title of paper 76,first last7,1970,venue location8,pubtype3,http://portal.acm.org/paperdb/location/of/paper76
77,This is the title of paper 77,first last6,1970,venue location6,pubtype4,http://portal.acm.org/paperdb/location/of/paper77
78,This is the title of paper 78,first last2,1977,venue location9,pubtype3,http://portal.acm.org/paperdb/location/of/paper78
79,This is the title of paper 79,first last19,1980,venue location4,pubtype0,http://portal.acm.org/paperdb/location/of/paper79
80,This is the title of paper 80,first last3,1982,venue location9,pubtype2,http://portal.acm.org/paperdb/location/of/paper80
81,This is the title of paper 81,first last12,1976,venue location9,pubtype2,http://portal.acm.org/paperdb/location/of/paper81
82,This is the title of paper 82,first last6,1970,venue location5,pubtype3,http://portal.acm.org/paperdb/location/of/paper82
83,This is the title of paper 83,first last19,1981,venue location8,pubtype4,http://portal.acm.org/paperdb/location/of/paper83
84,This is the title of paper 84,first last13,1981,venue location4,pubtype4,http://portal.acm.org/paperdb/location/of/paper84
85,This is the title of paper 85,first last6,1980,venue location0,pubtype2,http://portal.acm.org/paperdb/location/of/paper85
86,This is the title of paper 86,first last2,1969,venue location8,pubtype4,http://portal.acm.org/paperdb/location/of/paper86
87,This is the title of paper 87,first last8,1970,venue location9,pubtype1,http://portal.acm.org/paperdb/location/of/paper87
88,This is the title of paper 88,first last4,1980,venue location0,pubtype2,http://portal.acm.org/paperdb/location/of/paper88
89,This is the title of paper 89,first last19,1980,venue location6,pubtype1,http://portal.acm.org/paperdb/location/of/paper89
90,This is the title of paper 90,first last8,1974,venue location2,pubtype2,http://portal.acm.org/paperdb/location/of/paper90
91,This is the title of paper 91,first last3,1980,venue location9,pubtype1,http://portal.acm.org/paperdb/location/of/paper91
92,This is the title of paper 92,first last1,1982,venue location9,pubtype1,http://portal.acm.org/paperdb/location/of/paper92
93,This is the title of paper 93,first last8,1977,venue location5,pubtype3,http://portal.acm.org/paperdb/location/of/paper93
94,This is the title of paper 94,first last0,1976,venue location0,pubtype1,http://portal.acm.org/paperdb/location/of/paper94
95,This is the title of paper 95,first last16,1982,venue location8,pubtype1,http://portal.acm.org/paperdb/location/of/paper95
96,This is the title of paper 96,first last11,1975,venue location8,pubtype2,http://portal.acm.org/paperdb/location/of/paper96
97,This is the title of paper 97,first last18,1980,venue location6,pubtype1,http://portal.acm.org/paperdb/location/of/paper97
98,This is the title of paper 98,first last11,1974,venue location1,pubtype4,http://portal.acm.org/paperdb/location/of/paper98
99,This is the title of paper 99,first last11,1983,venue location4,pubtype4,http://portal.acm.org/paperdb/location/of/paper99
